Geneid	SRR031708_aligned.sam	SRR031709_aligned.sam	SRR031718_aligned.sam	SRR031719_aligned.sam
FBgn0026441	293	217	217	106
FBgn0000533	1	4	4	1
FBgn0038319	79	49	49	30
FBgn0038320	1185	793	793	585
FBgn0021750	58	45	45	40
FBgn0051301	165	122	122	83
FBgn0038324	39	35	35	39
FBgn0038326	121	107	107	66
FBgn0038327	78	53	53	55
FBgn0038331	169	133	133	121
FBgn0041188	1558	1130	1130	437
FBgn0038339	0	0	0	1
FBgn0038337	0	0	0	0
FBgn0038334	0	0	0	0
FBgn0038332	63	50	50	43
FBgn0038330	40	18	18	26
FBgn0026737	60	47	47	30
FBgn0026634	106	46	46	49
FBgn0038325	80	43	43	38
FBgn0019925	304	201	201	185
FBgn0038321	27	26	26	14
FBgn0013269	663	411	411	335
FBgn0038318	448	318	318	207
FBgn0038316	83	48	48	27
FBgn0011476	3	1	1	0
FBgn0027378	110	75	75	45
FBgn0000283	1069	722	722	434
FBgn0038311	24	10	10	8
FBgn0038309	14	11	11	8
FBgn0045035	590	395	395	324
FBgn0038306	131	94	94	62
FBgn0051344	74	52	52	44
FBgn0051155	83	83	83	27
FBgn0038303	154	116	116	87
FBgn0038301	53	52	52	30
FBgn0038299	2	2	2	0
FBgn0028984	1394	1005	1005	744
FBgn0000047	4	2	2	4
FBgn0038342	1	0	0	0
FBgn0019940	0	1	1	0
FBgn0038344	473	368	368	255
FBgn0038345	0	0	0	0
FBgn0038350	2	3	3	0
FBgn0038349	564	411	411	288
FBgn0038348	14	22	22	8
FBgn0051296	6	5	5	2
FBgn0038343	0	1	1	0
FBgn0053207	167	124	124	60
FBgn0051446	1	0	0	1
FBgn0038353	57	37	37	15
FBgn0038354	0	0	0	0
FBgn0038355	0	0	0	0
FBgn0038356	0	0	0	0
FBgn0038358	0	0	0	1
FBgn0038359	1	0	0	0
FBgn0038360	141	85	85	54
FBgn0038361	0	2	2	0
FBgn0038363	37	24	24	32
FBgn0038365	3	1	1	0
FBgn0026616	74	35	35	34
FBgn0038366	5	3	3	3
FBgn0038369	204	156	156	110
FBgn0003483	153	104	104	101
FBgn0038373	4	4	4	3
FBgn0038377	0	0	0	0
FBgn0051183	2	0	0	0
FBgn0038376	539	343	343	249
FBgn0038371	18	8	8	4
FBgn0017567	242	173	173	106
FBgn0003227	47	40	40	31
FBgn0000246	52	42	42	39
FBgn0038357	0	0	0	0
FBgn0051294	0	0	0	0
FBgn0051292	0	0	0	0
FBgn0038381	53	26	26	10
FBgn0038385	5	1	1	1
FBgn0038387	70	61	61	52
FBgn0013334	404	207	207	141
FBgn0038389	57	37	37	26
FBgn0038390	43	31	31	27
FBgn0022787	1111	745	745	630
FBgn0038391	107	73	73	29
FBgn0003117	1346	971	971	504
FBgn0038394	1	0	0	0
FBgn0038396	68	48	48	24
FBgn0027948	2071	1414	1414	1258
FBgn0038398	0	0	0	0
FBgn0010379	639	421	421	221
FBgn0052855	0	0	0	0
FBgn0038397	9	9	9	4
FBgn0024222	184	122	122	93
FBgn0038395	27	24	24	12
FBgn0002783	1057	791	791	417
FBgn0052856	24	17	17	18
FBgn0038388	104	70	70	54
FBgn0051088	0	0	0	0
FBgn0038386	0	0	0	0
FBgn0027657	98	95	95	35
FBgn0038380	0	0	0	0
FBgn0003319	0	1	1	0
FBgn0038401	90	62	62	49
FBgn0063649	169	142	142	47
FBgn0038404	2	0	0	1
FBgn0051287	1	0	0	0
FBgn0040071	324	241	241	112
FBgn0020407	81	69	69	38
FBgn0020399	2	0	0	0
FBgn0038412	0	1	1	2
FBgn0011858	0	0	0	0
FBgn0012011	0	0	0	0
FBgn0038414	13	6	6	7
FBgn0038415	11	6	6	4
FBgn0038416	11	7	7	6
FBgn0040271	218	123	123	255
FBgn0038407	133	106	106	80
FBgn0024491	174	123	123	168
FBgn0038402	1	1	1	0
FBgn0038400	524	308	308	201
FBgn0038418	60	32	32	22
FBgn0027095	445	347	347	286
FBgn0051279	0	0	0	0
FBgn0051282	0	0	0	0
FBgn0038424	141	116	116	50
FBgn0038425	33	21	21	26
FBgn0038429	21	33	33	15
FBgn0038431	9	4	4	6
FBgn0038432	60	49	49	47
FBgn0027053	215	125	125	107
FBgn0038435	0	0	0	0
FBgn0038436	0	0	0	3
FBgn0038445	0	0	0	0
FBgn0038446	36	18	18	17
FBgn0028381	0	0	0	0
FBgn0038439	0	0	0	1
FBgn0038438	234	156	156	116
FBgn0038437	21	19	19	11
FBgn0044826	775	531	531	437
FBgn0038428	127	79	79	87
FBgn0038426	39	20	20	22
FBgn0051497	0	0	0	0
FBgn0003513	0	0	0	0
FBgn0038423	0	0	0	0
FBgn0038422	0	0	0	0
FBgn0038421	19	10	10	12
FBgn0038420	5	1	1	0
FBgn0038419	2	1	1	1
FBgn0038447	0	0	0	0
FBgn0027109	0	0	0	0
FBgn0038449	1	0	0	0
FBgn0038450	0	0	0	0
FBgn0038451	0	0	0	0
FBgn0015520	49	48	48	31
FBgn0038453	217	152	152	187
FBgn0015019	1613	1172	1172	647
FBgn0015230	0	0	0	0
FBgn0020556	0	0	0	0
FBgn0063261	0	0	0	0
FBgn0003944	0	0	0	0
FBgn0051217	9	13	13	9
FBgn0038455	262	166	166	173
FBgn0015351	91	64	64	43
FBgn0038454	86	48	48	35
FBgn0038452	0	0	0	0
FBgn0022344	112	76	76	65
FBgn0027562	0	0	0	0
FBgn0020907	0	0	0	0
FBgn0038458	0	0	0	0
FBgn0043069	0	0	0	0
FBgn0038463	93	67	67	65
FBgn0038465	1499	1058	1058	786
FBgn0038466	2	6	6	2
FBgn0038467	97	73	73	51
FBgn0038462	45	38	38	68
FBgn0038461	52	52	52	32
FBgn0038460	2	1	1	0
FBgn0015011	0	0	0	0
FBgn0015008	0	0	0	0
FBgn0000015	0	0	0	0
FBgn0000014	1	0	0	0
FBgn0038468	0	0	0	0
FBgn0051268	0	0	0	0
FBgn0038471	61	34	34	44
FBgn0038476	241	182	182	223
FBgn0038478	106	73	73	88
FBgn0051269	1	0	0	0
FBgn0051265	0	0	0	0
FBgn0051267	0	0	0	0
FBgn0038484	6	4	4	3
FBgn0038485	0	0	0	0
FBgn0038486	0	0	0	0
FBgn0038490	28	19	19	11
FBgn0038491	83	60	60	38
FBgn0038494	2	0	0	0
FBgn0051262	7	3	3	2
FBgn0038492	1	0	0	0
FBgn0038488	120	90	90	58
FBgn0038487	0	1	1	1
FBgn0038482	0	1	1	0
FBgn0038481	0	0	0	1
FBgn0038479	0	0	0	0
FBgn0038475	102	69	69	45
FBgn0038473	245	170	170	171
FBgn0038472	64	47	47	43
FBgn0038470	131	78	78	144
FBgn0038469	4	3	3	2
FBgn0051418	0	0	0	0
FBgn0051419	0	0	0	0
FBgn0028992	116	79	79	84
FBgn0038505	0	0	0	0
FBgn0038506	0	0	0	0
FBgn0038507	0	0	0	0
FBgn0038508	0	0	0	0
FBgn0053333	0	0	0	0
FBgn0038511	0	0	0	0
FBgn0038512	0	0	0	0
FBgn0000564	0	0	0	0
FBgn0038510	0	0	0	0
FBgn0038509	0	0	0	0
FBgn0038504	1374	1011	1011	697
FBgn0038499	203	141	141	103
FBgn0038498	0	0	0	0
FBgn0038516	0	0	0	0
FBgn0025571	467	333	333	143
FBgn0038523	0	0	0	0
FBgn0003375	0	0	0	0
FBgn0038524	107	72	72	65
FBgn0038525	0	0	0	0
FBgn0038526	0	0	0	0
FBgn0012002	0	0	0	0
FBgn0038528	19	16	16	36
FBgn0051570	0	0	0	0
FBgn0011945	0	0	0	0
FBgn0038530	7	1	1	9
FBgn0038531	0	0	0	0
FBgn0051573	0	0	0	0
FBgn0051578	0	0	0	0
FBgn0051579	0	0	0	0
FBgn0051577	0	0	0	0
FBgn0038532	103	82	82	59
FBgn0051576	0	0	0	0
FBgn0000063	102	75	75	43
FBgn0038536	141	85	85	78
FBgn0051360	14	7	7	27
FBgn0051249	57	46	46	21
FBgn0051251	29	22	22	23
FBgn0038533	289	198	198	105
FBgn0051575	0	0	0	0
FBgn0051580	0	0	0	0
FBgn0051568	1	1	1	0
FBgn0051569	0	0	0	0
FBgn0051591	0	0	0	0
FBgn0011994	0	0	0	0
FBgn0011993	0	0	0	0
FBgn0038529	0	0	0	0
FBgn0011840	0	0	0	0
FBgn0038527	5	3	3	7
FBgn0011944	0	0	0	0
FBgn0004554	0	0	0	0
FBgn0038519	176	122	122	72
FBgn0010926	184	132	132	74
FBgn0038515	157	107	107	51
FBgn0016650	0	2	2	0
FBgn0038540	0	0	0	0
FBgn0038541	0	1	1	0
FBgn0038545	15	12	12	11
FBgn0038558	0	0	0	0
FBgn0038552	531	384	384	193
FBgn0038551	128	75	75	49
FBgn0038550	0	0	0	2
FBgn0038549	34	30	30	19
FBgn0038548	24	13	13	13
FBgn0038546	126	105	105	62
FBgn0038542	0	0	0	0
FBgn0038539	0	0	0	0
FBgn0000477	0	0	0	0
FBgn0038564	19	14	14	11
FBgn0038565	1	1	1	0
FBgn0038566	0	0	0	0
FBgn0003499	9	6	6	4
FBgn0051242	0	0	0	0
FBgn0051518	0	0	0	0
FBgn0038567	0	1	1	0
FBgn0038568	0	0	0	0
FBgn0010389	0	3	3	1
FBgn0022943	72	55	55	30
FBgn0042693	391	264	264	200
FBgn0038576	87	96	96	43
FBgn0038578	102	73	73	50
FBgn0028499	40	29	29	17
FBgn0038581	1	1	1	2
FBgn0038582	26	17	17	20
FBgn0038585	127	88	88	46
FBgn0011701	1	0	0	1
FBgn0020238	4463	2974	2974	2158
FBgn0038589	0	0	0	0
FBgn0038592	0	0	0	0
FBgn0026250	1215	758	758	482
FBgn0038597	174	126	126	69
FBgn0024432	460	352	352	183
FBgn0038607	1	0	0	2
FBgn0038609	73	63	63	35
FBgn0040569	0	0	0	0
FBgn0038611	0	1	1	0
FBgn0038610	0	0	0	0
FBgn0038608	112	88	88	64
FBgn0038606	0	0	0	0
FBgn0038603	3	3	3	0
FBgn0038602	0	0	0	0
FBgn0038601	108	66	66	45
FBgn0010877	706	458	458	296
FBgn0038598	5	6	6	0
FBgn0038596	1	0	0	0
FBgn0038595	48	36	36	12
FBgn0038593	159	87	87	66
FBgn0038590	19	19	19	11
FBgn0038588	35	26	26	24
FBgn0038586	57	38	38	28
FBgn0038584	61	54	54	35
FBgn0038583	43	24	24	15
FBgn0011481	476	349	349	202
FBgn0038579	0	0	0	0
FBgn0038577	60	36	36	37
FBgn0038569	148	80	80	78
FBgn0038612	31	17	17	22
FBgn0038619	38	25	25	8
FBgn0038626	1	0	0	0
FBgn0038627	1	1	1	2
FBgn0038630	0	0	0	0
FBgn0023083	307	209	209	126
FBgn0038629	1	0	0	2
FBgn0004652	986	702	702	305
FBgn0051122	375	250	250	190
FBgn0038621	3	9	9	4
FBgn0038617	54	52	52	25
FBgn0028670	727	504	504	450
FBgn0038613	2	1	1	0
FBgn0044871	76	63	63	45
FBgn0051231	3	0	0	1
FBgn0051229	30	10	10	8
FBgn0038638	178	141	141	77
FBgn0051230	1	3	3	3
FBgn0038640	49	30	30	30
FBgn0038641	0	0	0	0
FBgn0051226	0	0	0	0
FBgn0038653	5	6	6	6
FBgn0038652	65	39	39	39
FBgn0038649	75	38	38	31
FBgn0024329	677	492	492	336
FBgn0038646	0	0	0	0
FBgn0038645	2	0	0	0
FBgn0038642	0	0	0	0
FBgn0038632	0	0	0	0
FBgn0051228	0	0	0	0
FBgn0038631	0	0	0	0
FBgn0038654	1	1	1	0
FBgn0038655	1	0	0	0
FBgn0003248	1	0	0	0
FBgn0038659	248	169	169	110
FBgn0022338	280	212	212	96
FBgn0038673	37	31	31	18
FBgn0038674	4	4	4	1
FBgn0027785	279	194	194	118
FBgn0015781	56	27	27	23
FBgn0038675	56	51	51	26
FBgn0038676	0	0	0	1
FBgn0004876	275	216	216	152
FBgn0027784	25	23	23	19
FBgn0038672	26	22	22	18
FBgn0038666	87	57	57	28
FBgn0038665	0	0	0	0
FBgn0038662	80	59	59	30
FBgn0038660	402	292	292	127
FBgn0038658	1	2	2	1
FBgn0038656	0	0	0	0
FBgn0016120	687	492	492	239
FBgn0038679	16	18	18	11
FBgn0038680	210	152	152	132
FBgn0038681	67	50	50	35
FBgn0002962	1	2	2	0
FBgn0010768	83	63	63	25
FBgn0038685	0	0	0	0
FBgn0051475	0	0	0	0
FBgn0025680	1	0	0	0
FBgn0038692	44	27	27	22
FBgn0038695	0	0	0	0
FBgn0000463	0	0	0	0
FBgn0038694	0	0	0	0
FBgn0038693	16	10	10	9
FBgn0038691	0	0	0	1
FBgn0038690	5	3	3	0
FBgn0038686	112	75	75	43
FBgn0038678	59	38	38	23
FBgn0038700	0	0	0	0
FBgn0038701	0	0	0	0
FBgn0038702	0	0	0	0
FBgn0038704	143	117	117	78
FBgn0038705	10	6	6	16
FBgn0038709	0	0	0	0
FBgn0038708	1	1	1	0
FBgn0038706	0	0	0	0
FBgn0051244	1	0	0	0
FBgn0051245	0	0	0	0
FBgn0051404	0	0	0	0
FBgn0038697	0	0	0	0
FBgn0038715	0	0	0	0
FBgn0038716	0	0	0	0
FBgn0038718	0	0	0	1
FBgn0038719	0	0	0	0
FBgn0038722	123	77	77	57
FBgn0051220	0	0	0	0
FBgn0051219	329	208	208	307
FBgn0003011	1	2	2	3
FBgn0038727	2	1	1	0
FBgn0051216	297	235	235	246
FBgn0038732	0	0	0	0
FBgn0038733	0	1	1	0
FBgn0038734	1	0	0	0
FBgn0012004	0	0	0	0
FBgn0051215	0	0	0	0
FBgn0051471	0	0	0	0
FBgn0038731	0	0	0	0
FBgn0038730	0	0	0	0
FBgn0012003	0	0	0	1
FBgn0038725	7	5	5	5
FBgn0038723	171	107	107	86
FBgn0038721	249	160	160	114
FBgn0038720	50	41	41	41
FBgn0051459	0	0	0	0
FBgn0038735	76	52	52	43
FBgn0038737	28	22	22	14
FBgn0038739	31	25	25	22
FBgn0038742	228	148	148	91
FBgn0014006	395	259	259	177
FBgn0038744	12	6	6	4
FBgn0038747	517	390	390	215
FBgn0038751	0	0	0	0
FBgn0038756	0	0	0	1
FBgn0051213	8	5	5	3
FBgn0038760	177	116	116	61
FBgn0038766	6	10	10	10
FBgn0038768	255	158	158	85
FBgn0038772	78	62	62	35
FBgn0038771	422	295	295	160
FBgn0040571	0	3	3	3
FBgn0038769	78	56	56	25
FBgn0038767	66	54	54	30
FBgn0038765	21	8	8	12
FBgn0038763	176	136	136	115
FBgn0038761	2	1	1	0
FBgn0038755	51	28	28	21
FBgn0021776	3	1	1	2
FBgn0038753	0	0	0	0
FBgn0038752	0	0	0	0
FBgn0038750	0	0	0	0
FBgn0038749	0	0	0	0
FBgn0038746	231	155	155	114
FBgn0038745	418	314	314	159
FBgn0002940	0	1	1	0
FBgn0038741	38	35	35	19
FBgn0038740	0	1	1	1
FBgn0038738	696	503	503	311
FBgn0038773	0	0	0	0
FBgn0045471	0	0	0	0
FBgn0038774	0	0	0	0
FBgn0038775	0	0	0	0
FBgn0051206	0	0	0	0
FBgn0003249	0	0	0	0
FBgn0038788	174	93	93	71
FBgn0038789	0	0	0	0
FBgn0038790	0	0	0	0
FBgn0038796	0	0	0	0
FBgn0038798	0	1	1	0
FBgn0038799	0	0	0	0
FBgn0002869	0	0	0	0
FBgn0038797	0	0	0	0
FBgn0038795	0	0	0	0
FBgn0038787	941	597	597	448
FBgn0038784	4	0	0	1
FBgn0038783	0	0	0	0
FBgn0053192	0	0	0	1
FBgn0043457	59	39	39	18
FBgn0038803	108	95	95	55
FBgn0038806	53	50	50	15
FBgn0038808	83	55	55	28
FBgn0038810	190	163	163	78
FBgn0023097	380	287	287	127
FBgn0038815	34	28	28	29
FBgn0001169	351	260	260	162
FBgn0038816	106	56	56	54
FBgn0038819	0	0	0	0
FBgn0051205	0	0	0	0
FBgn0004107	66	44	44	22
FBgn0051200	0	0	0	0
FBgn0051199	0	0	0	0
FBgn0038821	0	0	0	0
FBgn0024944	1	0	0	0
FBgn0038820	0	0	0	0
FBgn0038818	0	0	0	1
FBgn0028422	1	0	0	1
FBgn0051201	0	0	0	1
FBgn0015279	610	428	428	292
FBgn0038814	2	0	0	0
FBgn0051506	0	0	0	0
FBgn0038811	86	78	78	34
FBgn0014029	551	389	389	354
FBgn0038809	503	337	337	220
FBgn0023212	357	261	261	115
FBgn0038805	147	121	121	116
FBgn0038804	23	15	15	11
FBgn0040575	8	6	6	7
FBgn0038826	779	487	487	370
FBgn0019936	4774	3344	3344	1801
FBgn0051223	36	25	25	19
FBgn0053094	407	266	266	177
FBgn0038832	115	95	95	6
FBgn0038833	0	0	0	0
FBgn0038834	5602	3866	3866	2466
FBgn0028396	0	0	0	0
FBgn0044812	0	0	0	0
FBgn0038838	0	0	0	0
FBgn0044809	0	0	0	0
FBgn0051480	0	0	0	0
FBgn0051334	0	0	0	0
FBgn0051333	0	0	0	0
FBgn0038840	0	0	0	0
FBgn0038842	450	341	341	220
FBgn0051191	0	0	0	0
FBgn0044810	0	0	0	0
FBgn0038839	0	0	0	0
FBgn0038837	2	0	0	1
FBgn0027493	998	702	702	468
FBgn0038830	20	19	19	16
FBgn0038829	148	114	114	65
FBgn0038828	0	1	1	0
FBgn0038827	97	77	77	61
FBgn0046689	0	1	1	0
FBgn0051195	181	123	123	137
FBgn0013995	0	1	1	1
FBgn0038846	5	4	4	2
FBgn0026056	84	63	63	44
FBgn0038847	0	1	1	0
FBgn0038851	6	3	3	2
FBgn0038855	106	85	85	49
FBgn0028468	206	130	130	119
FBgn0015790	1335	886	886	470
FBgn0010770	154	86	86	58
FBgn0038858	30	24	24	22
FBgn0038860	49	35	35	32
FBgn0038862	211	117	117	67
FBgn0038866	3	9	9	11
FBgn0038865	75	54	54	15
FBgn0038861	31	16	16	13
FBgn0038859	0	0	0	0
FBgn0038857	94	84	84	43
FBgn0038854	235	148	148	102
FBgn0038853	462	333	333	186
FBgn0038852	2	0	0	0
FBgn0003257	148	117	117	91
FBgn0025865	982	737	737	575
FBgn0038850	0	0	0	1
FBgn0038849	0	1	1	1
FBgn0051207	0	0	0	0
FBgn0051189	0	0	0	0
FBgn0013812	4	1	1	1
FBgn0046763	744	556	556	289
FBgn0038845	0	0	0	0
FBgn0038868	123	89	89	48
FBgn0038870	68	52	52	45
FBgn0038873	5	3	3	4
FBgn0038874	34	26	26	6
FBgn0038876	54	43	43	30
FBgn0038879	0	0	0	0
FBgn0001234	306	209	209	196
FBgn0002781	778	647	647	315
FBgn0004110	0	0	0	2
FBgn0004862	0	0	0	0
FBgn0038887	0	0	0	0
FBgn0011278	0	0	0	0
FBgn0008651	0	0	0	0
FBgn0038881	297	209	209	129
FBgn0038878	1	0	0	0
FBgn0038877	333	211	211	103
FBgn0043012	30	27	27	15
FBgn0000527	25	24	24	8
FBgn0038871	28	32	32	16
FBgn0038869	81	83	83	45
FBgn0038889	96	63	63	53
FBgn0004863	0	0	0	0
FBgn0038890	468	339	339	204
FBgn0038894	4	0	0	0
FBgn0051176	0	0	0	0
FBgn0038893	156	101	101	101
FBgn0011766	1597	1056	1056	518
FBgn0038892	1	0	0	0
FBgn0002941	1	0	0	0
FBgn0038897	1	2	2	2
FBgn0051343	0	1	1	0
FBgn0051233	0	0	0	0
FBgn0051198	0	0	0	0
FBgn0038901	0	0	0	0
FBgn0038902	3	0	0	0
FBgn0041229	2	1	1	0
FBgn0051431	746	484	484	224
FBgn0064912	2	3	3	0
FBgn0038912	138	100	100	73
FBgn0053092	0	0	0	0
FBgn0051465	0	0	0	0
FBgn0038917	21	18	18	14
FBgn0038918	0	0	0	0
FBgn0038919	0	0	0	0
FBgn0038916	3	0	0	1
FBgn0038915	0	0	0	0
FBgn0038914	0	1	1	0
FBgn0051174	3	1	1	1
FBgn0038909	44	36	36	21
FBgn0015229	180	110	110	86
FBgn0045468	1	0	0	0
FBgn0045469	5	3	3	6
FBgn0045470	7	2	2	3
FBgn0013759	749	533	533	285
FBgn0003867	0	1	1	1
FBgn0038903	26	18	18	10
FBgn0027575	14	5	5	0
FBgn0038921	1	0	0	0
FBgn0038923	26	19	19	23
FBgn0019957	265	187	187	107
FBgn0038928	42	22	22	24
FBgn0038929	0	0	0	0
FBgn0040582	0	0	0	0
FBgn0038931	0	0	0	0
FBgn0038930	1	0	0	0
FBgn0038927	0	0	0	0
FBgn0038926	7	1	1	4
FBgn0038925	142	109	109	60
FBgn0038924	53	44	44	34
FBgn0019960	412	282	282	175
FBgn0038922	154	113	113	80
FBgn0051164	0	0	0	0
FBgn0051163	5	0	0	2
FBgn0038934	1	0	0	1
FBgn0038938	1	0	0	0
FBgn0038941	0	0	0	0
FBgn0038942	0	0	0	0
FBgn0038946	0	0	0	0
FBgn0038947	573	397	397	324
FBgn0260467	1	0	0	0
FBgn0038952	51	37	37	33
FBgn0038953	180	131	131	148
FBgn0038957	16	7	7	4
FBgn0051165	0	0	0	0
FBgn0051166	0	0	0	0
FBgn0038959	0	0	0	0
FBgn0038960	0	1	1	0
FBgn0038965	68	48	48	45
FBgn0038964	406	308	308	216
FBgn0038961	76	53	53	49
FBgn0051167	0	0	0	0
FBgn0051162	0	0	0	0
FBgn0038958	0	0	0	0
FBgn0038956	0	0	0	0
FBgn0038951	18	14	14	13
FBgn0038948	158	121	121	68
FBgn0038945	1	0	0	0
FBgn0038944	0	0	0	0
FBgn0038943	0	0	0	0
FBgn0051423	0	0	0	0
FBgn0051424	0	0	0	0
FBgn0038972	74	64	64	51
FBgn0038973	5	4	4	1
FBgn0038975	5	3	3	1
FBgn0038976	153	105	105	63
FBgn0038978	0	0	0	0
FBgn0038979	0	0	0	0
FBgn0053110	0	0	0	0
FBgn0028837	103	75	75	35
FBgn0038989	113	74	74	39
FBgn0051158	570	385	385	260
FBgn0038993	1	6	6	2
FBgn0051159	30	22	22	21
FBgn0051161	5	2	2	5
FBgn0020278	367	260	260	150
FBgn0051156	58	43	43	28
FBgn0014949	1	0	0	4
FBgn0053107	40	25	25	16
FBgn0024558	160	122	122	90
FBgn0038986	0	0	0	0
FBgn0038984	324	210	210	198
FBgn0038983	0	0	0	0
FBgn0053099	1	1	1	1
FBgn0038981	256	164	164	126
FBgn0003676	906	643	643	536
FBgn0038977	2	2	2	1
FBgn0038974	35	23	23	18
FBgn0028688	301	208	208	124
FBgn0038968	309	168	168	164
FBgn0038967	0	1	1	1
FBgn0038966	108	71	71	47
FBgn0039002	0	0	0	0
FBgn0039004	160	113	113	82
FBgn0039006	152	95	95	95
FBgn0039008	0	0	0	0
FBgn0039017	46	27	27	20
FBgn0039019	47	39	39	30
FBgn0039025	64	36	36	32
FBgn0039026	809	508	508	266
FBgn0039027	0	0	0	0
FBgn0039029	0	0	0	0
FBgn0039028	0	0	0	0
FBgn0040588	0	0	0	3
FBgn0039024	35	20	20	13
FBgn0039023	48	23	23	15
FBgn0039022	26	10	10	12
FBgn0051139	3	0	0	1
FBgn0039016	275	215	215	140
FBgn0039015	1	2	2	1
FBgn0039013	40	34	34	14
FBgn0024958	170	103	103	101
FBgn0051151	710	486	486	291
FBgn0039010	2	0	0	0
FBgn0039009	0	0	0	0
FBgn0039007	0	0	0	0
FBgn0039003	139	117	117	87
FBgn0046114	89	78	78	32
FBgn0017590	0	0	0	0
FBgn0039030	0	0	0	0
FBgn0051281	0	0	0	0
FBgn0039031	0	0	0	0
FBgn0039033	0	0	0	0
FBgn0039034	0	0	0	0
FBgn0039038	0	0	0	0
FBgn0039041	0	0	0	0
FBgn0039042	1	0	0	0
FBgn0041225	4	7	7	8
FBgn0027526	44	38	38	28
FBgn0039049	0	1	1	1
FBgn0039050	0	0	0	0
FBgn0039051	5	5	5	8
FBgn0039052	4	0	0	3
FBgn0039053	0	0	0	0
FBgn0039054	5	2	2	0
FBgn0039048	0	1	1	0
FBgn0053193	62	32	32	42
FBgn0039045	0	0	0	0
FBgn0039044	43	22	22	25
FBgn0039043	2	2	2	0
FBgn0039040	0	0	0	0
FBgn0039039	0	0	0	0
FBgn0039056	398	296	296	196
FBgn0039066	188	159	159	136
FBgn0039068	14	8	8	7
FBgn0025781	75	58	58	51
FBgn0039069	11	8	8	1
FBgn0039071	4	3	3	3
FBgn0039070	1	3	3	0
FBgn0039067	102	39	39	25
FBgn0039065	50	45	45	36
FBgn0039064	4	5	5	3
FBgn0011596	11	10	10	13
FBgn0039059	3	5	5	2
FBgn0039058	1	1	1	2
FBgn0004395	248	170	170	109
FBgn0051457	38	27	27	23
FBgn0051365	158	99	99	39
FBgn0039055	276	166	166	111
FBgn0024509	534	385	385	205
FBgn0002622	9983	7335	7335	3936
FBgn0051225	1	0	0	0
FBgn0039079	0	0	0	0
FBgn0039080	0	0	0	0
FBgn0039088	0	0	0	0
FBgn0039087	0	0	0	0
FBgn0039086	0	0	0	0
FBgn0039085	0	0	0	0
FBgn0039084	0	0	0	0
FBgn0039083	0	0	0	0
FBgn0039081	0	0	0	0
FBgn0039078	0	1	1	0
FBgn0039077	0	0	0	0
FBgn0051515	0	0	0	0
FBgn0039075	0	0	0	1
FBgn0039073	32	21	21	19
FBgn0016119	601	443	443	241
FBgn0039089	0	0	0	0
FBgn0039098	87	66	66	20
FBgn0039099	4	8	8	5
FBgn0039101	96	58	58	26
FBgn0042106	7	6	6	4
FBgn0039102	2	0	0	1
FBgn0051148	0	1	1	0
FBgn0051413	0	0	0	0
FBgn0051414	0	0	0	0
FBgn0039106	0	0	0	0
FBgn0039107	0	0	0	0
FBgn0039109	148	91	91	33
FBgn0028684	198	129	129	150
FBgn0039111	37	24	24	20
FBgn0039112	72	61	61	41
FBgn0028475	375	257	257	173
FBgn0039110	204	118	118	80
FBgn0028691	238	157	157	155
FBgn0039108	61	30	30	52
FBgn0002922	5	4	4	1
FBgn0047351	0	0	0	0
FBgn0043005	1	1	1	0
FBgn0039104	0	0	0	0
FBgn0027512	128	90	90	88
FBgn0051145	5	3	3	1
FBgn0039094	8	5	5	0
FBgn0051143	0	0	0	0
FBgn0039093	0	0	0	0
FBgn0039092	0	0	0	0
FBgn0053337	0	0	0	0
FBgn0039091	0	0	0	0
FBgn0004187	0	1	1	0
FBgn0004186	0	0	0	0
FBgn0051141	0	0	0	0
FBgn0039125	166	137	137	115
FBgn0047114	56	33	33	26
FBgn0039128	24	19	19	14
FBgn0039130	428	297	297	191
FBgn0039132	207	123	123	117
FBgn0051140	99	56	56	48
FBgn0051451	24	15	15	21
FBgn0039136	271	191	191	145
FBgn0015795	723	475	475	269
FBgn0053108	9	6	6	9
FBgn0051184	59	50	50	49
FBgn0020647	1083	673	673	507
FBgn0039137	75	45	45	41
FBgn0039135	213	120	120	105
FBgn0005674	952	682	682	471
FBgn0039131	2	0	0	2
FBgn0039129	7	3	3	8
FBgn0015282	454	349	349	217
FBgn0039126	84	66	66	34
FBgn0016754	267	184	184	87
FBgn0039124	0	0	0	1
FBgn0013347	161	93	93	98
FBgn0025574	91	89	89	86
FBgn0004185	0	0	0	0
FBgn0039139	58	43	43	30
FBgn0039141	144	89	89	58
FBgn0043455	76	41	41	25
FBgn0026576	204	164	164	93
FBgn0039145	0	2	2	2
FBgn0040283	433	275	275	189
FBgn0039147	0	1	1	0
FBgn0039149	12	8	8	8
FBgn0039152	4	4	4	1
FBgn0026317	194	140	140	94
FBgn0039154	1	1	1	0
FBgn0039155	281	199	199	8
FBgn0039156	118	85	85	54
FBgn0039158	17	14	14	24
FBgn0026598	95	64	64	48
FBgn0039161	2	0	0	0
FBgn0029503	78	67	67	47
FBgn0039165	57	34	34	28
FBgn0026257	29	22	22	18
FBgn0039170	7	3	3	5
FBgn0002863	0	0	0	0
FBgn0043884	3006	2058	2058	1143
FBgn0039172	323	199	199	133
FBgn0039169	116	80	80	40
FBgn0011725	195	115	115	95
FBgn0039167	32	22	22	14
FBgn0039163	141	80	80	57
FBgn0039160	176	107	107	59
